Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.87 ± 0.04 (0.86-0.88),0.87 ± 0.03 (0.86-0.88),0.98 ± 0.01 (0.98-0.98),0.91 ± 0.02 (0.90-0.91)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.25 ± 0.20 (0.20-0.31),0.06 ± 0.31 (-0.02-0.15),0.52 ± 0.23 (0.45-0.58),0.27 ± 0.24 (0.20-0.33)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.28 ± 0.21 (0.22-0.33),0.09 ± 0.31 (0.01-0.18),0.55 ± 0.22 (0.49-0.61),0.31 ± 0.24 (0.24-0.37)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.89 ± 0.04 (0.88-0.90),0.89 ± 0.03 (0.88-0.90),0.98 ± 0.01 (0.98-0.99),0.92 ± 0.02 (0.91-0.92)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.71 ± 0.16 (0.67-0.75),0.63 ± 0.19 (0.58-0.68),0.92 ± 0.08 (0.90-0.95),0.66 ± 0.19 (0.60-0.71)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.91 ± 0.02 (0.91-0.92),0.87 ± 0.03 (0.86-0.87),0.98 ± 0.01 (0.98-0.98),0.90 ± 0.02 (0.90-0.91)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.82 ± 0.11 (0.79-0.85),0.78 ± 0.11 (0.75-0.81),0.97 ± 0.03 (0.97-0.98),0.82 ± 0.11 (0.78-0.85)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.92 ± 0.02 (0.91-0.92),0.86 ± 0.03 (0.86-0.87),0.98 ± 0.01 (0.98-0.98),0.90 ± 0.02 (0.90-0.91)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.89 ± 0.04 (0.88-0.90),0.88 ± 0.03 (0.88-0.89),0.98 ± 0.01 (0.98-0.99),0.92 ± 0.02 (0.91-0.92)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.86 ± 0.05 (0.85-0.88),0.85 ± 0.04 (0.84-0.86),0.98 ± 0.01 (0.97-0.98),0.89 ± 0.03 (0.88-0.90)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.84 ± 0.05 (0.83-0.86),0.84 ± 0.04 (0.83-0.85),0.98 ± 0.01 (0.97-0.98),0.88 ± 0.03 (0.87-0.89)
