Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.85 ± 0.05 (0.84-0.86),0.72 ± 0.08 (0.70-0.74),0.93 ± 0.04 (0.92-0.94),0.89 ± 0.03 (0.88-0.90)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.64 ± 0.14 (0.60-0.68),0.30 ± 0.30 (0.22-0.39),0.73 ± 0.25 (0.66-0.80),0.73 ± 0.10 (0.70-0.76)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.85 ± 0.04 (0.84-0.86),0.74 ± 0.07 (0.72-0.76),0.93 ± 0.03 (0.92-0.94),0.90 ± 0.03 (0.89-0.91)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.85 ± 0.04 (0.84-0.86),0.74 ± 0.06 (0.73-0.76),0.93 ± 0.03 (0.92-0.94),0.90 ± 0.02 (0.90-0.91)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.85 ± 0.04 (0.84-0.86),0.73 ± 0.06 (0.72-0.75),0.93 ± 0.03 (0.92-0.94),0.90 ± 0.02 (0.89-0.90)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.79 ± 0.14 (0.75-0.83),0.58 ± 0.29 (0.50-0.66),0.90 ± 0.09 (0.87-0.92),0.83 ± 0.14 (0.79-0.87)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.86 ± 0.05 (0.84-0.87),0.72 ± 0.08 (0.70-0.75),0.93 ± 0.04 (0.92-0.94),0.89 ± 0.03 (0.88-0.90)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.79 ± 0.13 (0.75-0.82),0.60 ± 0.26 (0.53-0.67),0.92 ± 0.04 (0.91-0.93),0.85 ± 0.10 (0.82-0.87)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.85 ± 0.04 (0.84-0.86),0.72 ± 0.08 (0.69-0.74),0.92 ± 0.04 (0.91-0.93),0.89 ± 0.03 (0.88-0.90)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.85 ± 0.04 (0.84-0.86),0.73 ± 0.06 (0.72-0.75),0.93 ± 0.03 (0.92-0.94),0.90 ± 0.02 (0.89-0.90)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.81 ± 0.04 (0.80-0.82),0.64 ± 0.08 (0.61-0.66),0.89 ± 0.04 (0.88-0.91),0.86 ± 0.03 (0.85-0.87)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.85 ± 0.05 (0.84-0.87),0.73 ± 0.08 (0.71-0.75),0.93 ± 0.04 (0.92-0.94),0.90 ± 0.03 (0.89-0.91)
