Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1,small_clam_sb,Early_Fusion,HE_KI67,0.79 ± 0.05 (0.78-0.81),0.76 ± 0.05 (0.75-0.78),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.84)
conch_v1,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.70 ± 0.05 (0.68-0.71),0.69 ± 0.05 (0.67-0.70),0.93 ± 0.02 (0.92-0.93),0.77 ± 0.03 (0.76-0.78)
conch_v1,small_clam_sb,Late_Fusion_LA,HE_KI67,0.77 ± 0.05 (0.76-0.79),0.77 ± 0.05 (0.75-0.78),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.04 (0.82-0.84)
conch_v1,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.59 ± 0.11 (0.56-0.62),0.51 ± 0.15 (0.47-0.55),0.88 ± 0.05 (0.87-0.90),0.57 ± 0.16 (0.53-0.62)
conch_v1,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.81 ± 0.04 (0.80-0.83),0.75 ± 0.04 (0.74-0.77),0.95 ± 0.01 (0.95-0.96),0.82 ± 0.03 (0.82-0.83)
conch_v1,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.71 ± 0.12 (0.68-0.75),0.65 ± 0.13 (0.61-0.69),0.93 ± 0.04 (0.92-0.94),0.72 ± 0.12 (0.69-0.75)
conch_v1,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.82 ± 0.04 (0.81-0.83),0.76 ± 0.04 (0.75-0.77),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.83)
conch_v1,small_clam_sb,Late_Fusion_PA,HE_KI67,0.77 ± 0.05 (0.76-0.78),0.76 ± 0.04 (0.75-0.77),0.95 ± 0.02 (0.95-0.96),0.82 ± 0.03 (0.81-0.83)
conch_v1,small_clam_sb,Single_Stain,HE,0.77 ± 0.05 (0.76-0.79),0.74 ± 0.05 (0.73-0.75),0.94 ± 0.02 (0.94-0.95),0.81 ± 0.04 (0.80-0.82)
conch_v1,small_clam_sb,Single_Stain,KI67,0.70 ± 0.04 (0.69-0.71),0.69 ± 0.05 (0.67-0.70),0.93 ± 0.02 (0.92-0.93),0.77 ± 0.03 (0.76-0.78)
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.78 ± 0.05 (0.76-0.79),0.76 ± 0.04 (0.75-0.77),0.95 ± 0.01 (0.95-0.96),0.82 ± 0.03 (0.82-0.83)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.30 ± 0.08 (0.28-0.32),0.21 ± 0.16 (0.17-0.26),0.68 ± 0.14 (0.65-0.72),0.38 ± 0.06 (0.37-0.40)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.81 ± 0.04 (0.80-0.82),0.78 ± 0.04 (0.77-0.80),0.95 ± 0.01 (0.95-0.96),0.84 ± 0.03 (0.84-0.85)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.81 ± 0.05 (0.79-0.82),0.79 ± 0.05 (0.78-0.80),0.95 ± 0.02 (0.95-0.96),0.85 ± 0.03 (0.84-0.86)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.78 ± 0.05 (0.77-0.80),0.77 ± 0.04 (0.76-0.78),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.84)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.63 ± 0.14 (0.59-0.67),0.54 ± 0.15 (0.50-0.59),0.89 ± 0.06 (0.88-0.91),0.60 ± 0.16 (0.56-0.65)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.83 ± 0.04 (0.82-0.84),0.77 ± 0.03 (0.76-0.78),0.95 ± 0.01 (0.95-0.96),0.83 ± 0.03 (0.83-0.84)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.73 ± 0.13 (0.69-0.76),0.66 ± 0.13 (0.63-0.70),0.94 ± 0.03 (0.93-0.95),0.73 ± 0.12 (0.69-0.76)
