Task,Modality,Feature_Encoder,Aggregation,Fusion,Fold,BA,MCC,AUC,F1-Score
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_0,0.7146442577030812,0.7012405746697215,0.9451129022307452,0.7848392417682598
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_1,0.7479887955182074,0.6908348168496902,0.933179965460581,0.7751504076027059
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_2,0.8032717086834733,0.7832518702159088,0.9556090094938076,0.8465193212286143
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_3,0.8583305322128851,0.816909949176364,0.9690575152534554,0.8698272809340695
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_4,0.770890756302521,0.7562127306221116,0.9602979882693464,0.8257187780772686
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_5,0.7443025210084034,0.7199466573040658,0.9596549928619524,0.7850045187726012
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_6,0.8083025210084033,0.7882820228717183,0.944465878451186,0.8316579704410759
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_7,0.8018823529411765,0.7620546427843518,0.944533993603156,0.8251354380721092
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_8,0.7466442577030812,0.7020882453257615,0.9385935526910064,0.7920518291980555
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_9,0.7421736694677871,0.7428380658318144,0.9516469778025172,0.8126609124395147
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_10,0.8574117647058823,0.7912091581325459,0.963831527457773,0.8486450054404838
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_11,0.8658039215686275,0.8296468981743511,0.9765352781537592,0.8784510912062063
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_12,0.8269803921568627,0.7329515058213278,0.934666402608876,0.8054104087054744
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_13,0.7748011204481793,0.7478032591544637,0.9407689432966588,0.8179697863507966
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_14,0.7237422969187676,0.7293721114109764,0.9394699895220964,0.799540780672856
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_15,0.8159775910364144,0.7526572003046499,0.9461183756933232,0.8200169483571751
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_16,0.8166050420168067,0.7992688062828042,0.968083294383258,0.8577289563624192
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_17,0.7389803921568627,0.7415729934760331,0.9466634636148984,0.8067523668513126
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_18,0.7885490196078431,0.7442174367411325,0.9344172639335084,0.8172899275115798
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_19,0.7272717086834735,0.7424749427460846,0.9582460069188232,0.8000855405022095
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_20,0.8120784313725491,0.7631594434319535,0.9685818909017724,0.8301839361772769
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_21,0.7769859943977591,0.7829695060411581,0.9411704801022808,0.842364134816965
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_22,0.7402128851540616,0.728643368002238,0.945543107161064,0.7996602040904243
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_23,0.7779383753501401,0.7349933299309084,0.964702734685239,0.815110705081993
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_24,0.7896470588235294,0.7506621799100144,0.9488904280407724,0.8143929489583441
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_25,0.7330756302521009,0.7287236952510655,0.958071411592758,0.7981286457517632
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_26,0.7533109243697479,0.7025311349009054,0.9460138221320024,0.7876406270167184
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_27,0.7433613445378151,0.7165265019269492,0.9392914913807776,0.7992658042715408
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_28,0.7630252100840336,0.7284678371549137,0.9459007681567616,0.8035996332594191
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_29,0.7609299719887955,0.7185845926052266,0.9342342288617788,0.801583562365312
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_30,0.6861624649859944,0.60457605760486,0.8865330137401382,0.7220525423274652
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_31,0.8089411764705883,0.7417662456594747,0.9452042132307662,0.8114915410094182
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_32,0.7299383753501401,0.7280583191274693,0.944330885779658,0.7998446037961879
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_33,0.7352605042016807,0.7139437682890296,0.9398683388703298,0.7911623608784536
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_34,0.7945098039215687,0.7707915194713701,0.9630934627838172,0.8367709092294758
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_35,0.7957983193277312,0.7243740505016717,0.9366832697006684,0.8085996662816071
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_36,0.733658263305322,0.6971953596995911,0.9438066835644744,0.7834277036955065
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_37,0.8773221288515407,0.8203080449697508,0.9730145637069944,0.8707961136355189
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_38,0.8346554621848739,0.7994450318442491,0.9534819255909311,0.859198572952297
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_39,0.7530756302521009,0.6839486945838559,0.9066057961062788,0.7753067350439318
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_40,0.8570868347338936,0.825527174459757,0.9496293067244516,0.877157527073462
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_41,0.7777927170868347,0.7421472732577027,0.9339918881963268,0.8151903557362106
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_42,0.6356526610644258,0.6424073968565482,0.9284923804722685,0.7359546951999781
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_43,0.775126050420168,0.7559991054409628,0.9245230691178684,0.8213841784387103
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_44,0.7470252100840336,0.7287671688005153,0.9309011834863632,0.8025326589293615
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_45,0.7338823529411764,0.6862597423473206,0.9284629051959984,0.7725978186996342
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_46,0.8906554621848739,0.7924573025349646,0.9736745135178244,0.8430723315035286
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_47,0.7371652661064425,0.7163152366879104,0.934025638738184,0.7914990390968886
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_48,0.6692100840336135,0.6588535261042863,0.9243794657744604,0.7424431187424677
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_49,0.7787002801120448,0.7695890308605643,0.9407197698291544,0.8360421309305142
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_0,0.7371652661064425,0.7174082049498353,0.9319358805838388,0.7897126944181359
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_1,0.6597871148459383,0.6211976164437938,0.9133533142069852,0.730365201107719
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_2,0.7740392156862745,0.7136521247974874,0.933635605161354,0.7932356905026162
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_3,0.7350364145658264,0.7428456354630478,0.94942373154938,0.8023754193796956
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_4,0.6664089635854342,0.67332416231293,0.9426713082883296,0.7458115827247723
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_5,0.7402128851540616,0.7310254064326308,0.9462331478990694,0.799212588599381
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_6,0.752985994397759,0.706337240212862,0.9338889964176564,0.7907423933367329
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_7,0.7416918767507003,0.7422664180595911,0.8966901115394426,0.8099505135939749
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_8,0.739126050420168,0.7271682686862708,0.9205213287344812,0.8037908949281635
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_9,0.7333669467787115,0.702307865396846,0.94052619852787,0.7896543740158709
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_10,0.7200448179271708,0.702735135163296,0.9318135485859076,0.7756617214393364
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_11,0.7470364145658264,0.7327175765737126,0.9502685538887562,0.7997318765215546
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_12,0.7495574229691877,0.7294374896559864,0.9230121409861552,0.8000753557661652
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_13,0.7780392156862745,0.7731296028993319,0.948624811339662,0.8264880689317399
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_14,0.5698375350140056,0.5990238895695764,0.9199120485230912,0.6914441284155013
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_15,0.7697927170868347,0.7192800147308549,0.9325593028293596,0.7978520406658343
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_16,0.7712717086834734,0.7342755859588358,0.953875719016952,0.8088738879974426
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_17,0.6999439775910364,0.7022155712524033,0.943892917422836,0.7736219886691584
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_18,0.7430252100840337,0.6716557814111099,0.9071328623906718,0.7658149327960648
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_19,0.6387899159663866,0.6426879645975874,0.9008476105468888,0.7298600132041901
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_20,0.6468347338935574,0.6150923670467507,0.9323427867938472,0.7278175515618917
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_21,0.7234173669467787,0.7134359271416365,0.9305290037858004,0.7942737346510931
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_22,0.7213669467787115,0.7138804538714649,0.94822051439219,0.7952503448919684
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_23,0.7011316526610644,0.728665406994699,0.94430010481702,0.791825365410271
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_24,0.6872156862745098,0.650845358854673,0.9359754151801994,0.7405255814544173
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_25,0.7818487394957983,0.770370493925487,0.9444680936338368,0.8372004683099198
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_26,0.6962689075630252,0.5995129986819172,0.9143160677217936,0.7178563855876093
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_27,0.685703081232493,0.7153014665424062,0.9194515785740808,0.7668246582161677
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_28,0.7366050420168068,0.7275498080003213,0.9087982830263296,0.8044701018785746
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_29,0.6526498599439775,0.6558656586202173,0.9179329281647676,0.7498175901342122
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_30,0.6670812324929971,0.6711120755726656,0.9033986521324182,0.7552098844551675
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_31,0.7233613445378152,0.6253856412786089,0.9041917249774064,0.7271510263181395
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_32,0.6669803921568628,0.6087678377632381,0.8840677976892329,0.7127022356345493
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_33,0.7321232492997198,0.7158109524724665,0.9447114857065336,0.7955503869228763
