Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.76 ± 0.05 (0.74-0.77),0.73 ± 0.05 (0.71-0.74),0.94 ± 0.02 (0.94-0.95),0.80 ± 0.04 (0.79-0.81)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.31 ± 0.07 (0.29-0.33),0.24 ± 0.16 (0.20-0.28),0.69 ± 0.13 (0.65-0.73),0.40 ± 0.06 (0.38-0.41)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.76 ± 0.05 (0.75-0.78),0.75 ± 0.05 (0.74-0.76),0.95 ± 0.02 (0.94-0.95),0.82 ± 0.04 (0.81-0.83)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.75 ± 0.05 (0.74-0.77),0.75 ± 0.05 (0.73-0.76),0.95 ± 0.02 (0.94-0.95),0.81 ± 0.04 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.76 ± 0.05 (0.74-0.77),0.75 ± 0.04 (0.73-0.76),0.95 ± 0.02 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.59 ± 0.13 (0.55-0.62),0.49 ± 0.15 (0.45-0.54),0.87 ± 0.07 (0.85-0.89),0.55 ± 0.17 (0.50-0.60)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.80 ± 0.05 (0.79-0.81),0.74 ± 0.05 (0.72-0.75),0.95 ± 0.02 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.70 ± 0.12 (0.66-0.73),0.64 ± 0.12 (0.61-0.68),0.93 ± 0.02 (0.92-0.94),0.71 ± 0.11 (0.68-0.74)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.80 ± 0.05 (0.79-0.82),0.74 ± 0.05 (0.72-0.75),0.94 ± 0.02 (0.94-0.95),0.81 ± 0.04 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.75 ± 0.04 (0.74-0.77),0.74 ± 0.05 (0.73-0.75),0.94 ± 0.02 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.75 ± 0.06 (0.73-0.76),0.71 ± 0.06 (0.69-0.73),0.93 ± 0.02 (0.93-0.94),0.79 ± 0.05 (0.78-0.80)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.70 ± 0.05 (0.69-0.71),0.68 ± 0.05 (0.66-0.69),0.92 ± 0.02 (0.92-0.93),0.76 ± 0.04 (0.75-0.77)
