Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1,small_clam_sb,Early_Fusion,HE_KI67,0.86 ± 0.05,0.75 ± 0.08,0.93 ± 0.04,0.9 ± 0.03
conch_v1,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.86 ± 0.05,0.75 ± 0.09,0.93 ± 0.04,0.91 ± 0.03
conch_v1,small_clam_sb,Late_Fusion_LA,HE_KI67,0.88 ± 0.05,0.78 ± 0.08,0.93 ± 0.04,0.92 ± 0.03
conch_v1,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.78 ± 0.13,0.55 ± 0.26,0.85 ± 0.09,0.82 ± 0.14
conch_v1,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.84 ± 0.06,0.69 ± 0.11,0.9 ± 0.06,0.88 ± 0.04
conch_v1,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.79 ± 0.14,0.61 ± 0.27,0.89 ± 0.1,0.85 ± 0.1
conch_v1,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.83 ± 0.09,0.66 ± 0.18,0.88 ± 0.08,0.86 ± 0.12
conch_v1,small_clam_sb,Late_Fusion_MJ,HE_KI67,0.88 ± 0.05,0.78 ± 0.08,0.91 ± 0.05,0.92 ± 0.03
conch_v1,small_clam_sb,Late_Fusion_PA,HE_KI67,0.88 ± 0.05,0.78 ± 0.08,0.93 ± 0.04,0.92 ± 0.03
conch_v1,small_clam_sb,Single_Stain,HE,0.84 ± 0.05,0.7 ± 0.09,0.9 ± 0.05,0.88 ± 0.03
conch_v1,small_clam_sb,Single_Stain,KI67,0.86 ± 0.05,0.75 ± 0.09,0.92 ± 0.05,0.9 ± 0.03
